City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
346,la peca,-5.6111,-78.435,22.06,81,96,1.6,PE,1712886646
347,sarandi,-23.4436,-51.8739,25.75,69,0,3.6,BR,1712886647
348,argo,37.6333,22.7333,16.82,47,78,3.24,GR,1712886647
349,al hufuf,25.3646,49.5653,21.19,43,0,2.57,SA,1712886648
350,juan griego,11.0817,-63.9655,26.14,82,0,4.74,VE,1712886649
351,moires,35.0532,24.8744,15.98,75,0,0.45,GR,1712886650
352,walvis bay,-22.9575,14.5053,14.53,100,65,2.57,NA,1712886532
353,bel ombre,-4.6167,55.4167,28.91,74,20,3.6,SC,1712886651
354,fortuna,40.5982,-124.1573,12.18,80,100,5.14,US,1712886652
355,formosa,-26.1775,-58.1781,22.76,94,100,0.89,AR,1712885962
356,holdrege,40.4403,-99.3698,10.14,29,0,3.09,US,1712886654
357,praia da vitoria,38.7333,-27.0667,16.53,100,40,2.73,PT,1712886612
358,caluula,11.9661,50.7569,27.9,72,23,2.84,SO,1712886655
359,kisoro,-1.2854,29.685,13.93,91,28,1.52,UG,1712886656
360,holualoa,19.6228,-155.9522,26.04,82,100,3.6,US,1712886585
361,ust'-kulom,61.6864,53.6902,3.28,86,100,5.37,RU,1712886658
362,isla vista,34.4133,-119.861,25.19,66,0,1.8,US,1712886421
